"Name","Source","ReleaseDate","Playtime","IsInstalled"
"Defold","Steam",,"420","False"
"Assetto Corsa","Xbox","30/08/2016","20580","False"
"ASTRONEER","Xbox","6/02/2019","5040","False"
"FIFA 21 Xbox One","Xbox","9/10/2020","8640","False"
"DAEMON X MACHINA","Epic","12/09/2019","0","False"
"Argo","Steam","22/06/2017","300","False"
"Goose Goose Duck","Steam","3/10/2021","0","False"
"Tomb Raider GAME OF THE YEAR EDITION","Epic","28/01/2014","3374","False"
"NVIDIA VR Funhouse","Steam","14/07/2016","0","False"
"Dumb Ways to Die 2: The Games","Xbox","17/08/2015","0","True"
"ClusterTruck","Xbox","28/10/2016","4200","False"
"Mortal Shell: Enhanced Edition","Xbox","18/08/2020","1320","False"
"Heroes & Generals","Steam","23/09/2016","10740","False"
"Two Point Hospital","Xbox","25/02/2020","3540","False"
"Halo 5: Guardians","Xbox","27/10/2015","2280","False"
"FAR: Changing Tides","Xbox","1/03/2022","0","False"
"The Anacrusis (Game Preview)","Xbox","31/12/2799","0","False"
"DOOM","Xbox","13/05/2016","74100","False"
"ScourgeBringer","Xbox","21/10/2020","300","False"
"Kill It With Fire","Xbox","4/03/2021","960","False"
"Disney Infinity 3.0","Xbox","31/08/2015","0","False"
"Unfortunate Spacemen","Steam","12/06/2020","4620","False"
"Watch Dogs: Legion - Legion of the Dead","Epic",,"0","False"
"Battlefield Hardline","Xbox","17/03/2015","0","False"
"The Vanishing of Ethan Carter Redux","Epic","11/09/2015","0","False"
"Disney Dreamlight Valley","Xbox","6/09/2022","720","False"
"Warfork","Steam","16/08/2019","480","False"
"Yu-Gi-Oh! Duel Links","Steam","17/11/2016","8220","False"
"Crossout","Steam","30/05/2017","3480","False"
"Time Clickers","Steam","20/03/2015","6000","False"
"Roller Champions","Xbox","25/05/2022","900","False"
"Maneater","Xbox","22/05/2020","2160","False"
"Warfork Testing","Steam",,"0","False"
"Fallout 76","Xbox","14/11/2018","2340","False"
"Godot Engine","Steam",,"14280","True"
"A Plague Tale: Innocence","Xbox","14/05/2019","960","False"
"Drug Dealer Simulator: Free Sample","Steam",,"2220","False"
"CS:GO Player Profiles: Zeus - Gambit","Steam",,"0","False"
"Battlefield 3","Xbox","9/08/2017","0","False"
"Forza Motorsport 4","Xbox","11/10/2011","0","False"
"Power Rangers: Battle for the Grid","Xbox","26/03/2019","1680","False"
"Classic Racers","Steam","26/03/2019","0","False"
"Escape Academy","Xbox","14/07/2022","9480","False"
"Back 4 Blood","Xbox","12/10/2021","6960","False"
"LEGO Batman 2: DC Super Heroes","Steam","19/06/2012","0","True"
"Ironsight","Steam","20/06/2019","3060","False"
"Dishonored 2","Xbox","11/11/2016","0","False"
"Garfield Kart Furious Racing","Xbox","19/11/2019","11400","False"
"Age of Empires II: Definitive Edition","Xbox","14/11/2019","20640","False"
"*NEW* SCUFFED BHOP SIMULATION 2026 GOTY EDITION","Steam",,"240","False"
"Alien: Isolation","Xbox","7/10/2014","0","False"
"Post Scriptum SDK","Epic","9/08/2018","0","False"
"Rocket League","Steam","7/07/2015","2347620","False"
"The Long Dark","Xbox","2/11/2017","3660","False"
"CleanVR","Steam","27/05/2019","0","False"
"Perfect Dark","Xbox","17/03/2010","0","False"
"Assassin's Creed Odyssey","Xbox","5/10/2018","6420","False"
"Unreal Tournament","Epic","22/11/1999","1811","False"
"EA SPORTS FIFA 16","Xbox","22/09/2015","0","False"
"Knockout City","Origin","21/05/2021","24238","False"
"McOsu","Steam","20/03/2017","540","False"
"Call of Duty: Infinite Warfare","Xbox","4/11/2016","3300","False"
